date,mv_revenue,mv_txn_count,mv_orders,mv_rev_per_order,ct_revenue_final,ct_revenue_net,ct_trips,ct_rev_per_trip,delta_pen,delta_pct,status
2025-02-28,0.0,0,0,0.0,10.083,0.0,24,0.4201,-10.08,-100.0,API_UNAVAILABLE
2025-03-01,0.0,0,0,0.0,95.838,0.0,240,0.3993,-95.84,-100.0,API_UNAVAILABLE
2025-03-02,0.0,0,0,0.0,94.539,0.0,252,0.3752,-94.54,-100.0,API_UNAVAILABLE
2025-03-03,0.0,0,0,0.0,85.059,0.0,204,0.417,-85.06,-100.0,API_UNAVAILABLE
2025-03-04,0.0,0,0,0.0,92.649,0.0,262,0.3536,-92.65,-100.0,API_UNAVAILABLE
2025-03-05,0.0,0,0,0.0,93.705,0.0,300,0.3124,-93.7,-100.0,API_UNAVAILABLE
2025-03-06,0.0,0,0,0.0,99.75,0.0,297,0.3359,-99.75,-100.0,API_UNAVAILABLE
2025-03-07,0.0,0,0,0.0,109.506,0.0,329,0.3328,-109.51,-100.0,API_UNAVAILABLE
2025-03-08,0.0,0,0,0.0,123.204,0.0,336,0.3667,-123.2,-100.0,API_UNAVAILABLE
2025-03-09,0.0,0,0,0.0,115.101,0.0,344,0.3346,-115.1,-100.0,API_UNAVAILABLE
2025-03-10,0.0,0,0,0.0,131.913,0.0,402,0.3281,-131.91,-100.0,API_UNAVAILABLE
2025-03-11,0.0,0,0,0.0,159.876,0.0,494,0.3236,-159.88,-100.0,API_UNAVAILABLE
2025-03-12,0.0,0,0,0.0,185.937,0.0,574,0.3239,-185.94,-100.0,API_UNAVAILABLE
2025-03-13,0.0,0,0,0.0,194.343,0.0,649,0.2994,-194.34,-100.0,API_UNAVAILABLE
2025-03-14,0.0,0,0,0.0,199.47,0.0,591,0.3375,-199.47,-100.0,API_UNAVAILABLE
2025-03-15,0.0,0,0,0.0,221.517,0.0,611,0.3625,-221.52,-100.0,API_UNAVAILABLE
2025-03-16,0.0,0,0,0.0,177.426,0.0,532,0.3335,-177.43,-100.0,API_UNAVAILABLE
2025-03-17,0.0,0,0,0.0,164.358,0.0,466,0.3527,-164.36,-100.0,API_UNAVAILABLE
2025-03-18,0.0,0,0,0.0,223.398,0.0,676,0.3305,-223.4,-100.0,API_UNAVAILABLE
2025-03-19,0.0,0,0,0.0,205.26,0.0,657,0.3124,-205.26,-100.0,API_UNAVAILABLE
