slice_name,grain,row_count,first_seen,last_seen,days_active,total_trips,total_revenue,total_drivers
Auto regular,day,3659,2025-01-01,2026-05-31,516,11035051,2003853675.222,1140531
Auto regular,week,548,2024-12-30,2026-04-20,69,12950162,1910544837.348,1095125
Auto regular,month,137,2025-01-01,2026-06-01,18,11090885,1321776145.318,109632
Carga,day,797,2025-04-07,2026-05-31,410,56838,107560884.194,24498
Carga,week,109,2025-04-07,2026-04-20,54,53291,101518780.304,20768
Carga,month,29,2025-04-01,2026-06-01,15,57431,90164178.733,3732
Delivery,day,402,2025-04-18,2026-05-31,402,95045,28985.8437,13464
Delivery,week,54,2025-04-14,2026-04-20,54,82998,25220.3976,10683
Delivery,month,15,2025-04-01,2026-06-01,15,95968,23643.1136,2456
Delivery moto,day,716,2025-04-28,2026-05-31,389,36449,7070851.5,6795
Delivery moto,week,96,2025-04-28,2026-04-20,52,33094,6200448.5,5746
Delivery moto,month,32,2025-04-01,2026-06-01,15,36745,6541907.5,1597
PRO,day,424,2025-04-03,2026-05-31,424,284875,87766.191,14122
PRO,week,56,2025-03-31,2026-04-20,56,267630,82450.302,12802
PRO,month,15,2025-04-01,2026-06-01,15,286132,77048.071,739
Taxi Moto,day,1765,2025-01-24,2026-05-31,483,1486901,238883418.51,176545
Taxi Moto,week,253,2025-01-20,2026-04-20,66,1359864,217269114.51,152519
Taxi Moto,month,72,2025-01-01,2026-06-01,18,1497482,193784686.0,19338
Tuk Tuk,day,405,2025-04-22,2026-05-31,405,250354,nan,13698
Tuk Tuk,week,53,2025-04-21,2026-04-20,53,212200,nan,10991
Tuk Tuk,month,15,2025-04-01,2026-06-01,15,254046,nan,1550
YMA,day,451,2025-03-05,2026-05-31,451,188263,80444.038,11666
YMA,week,60,2025-03-03,2026-04-20,60,160149,68909.952,9225
YMA,month,16,2025-03-01,2026-06-01,16,190042,58622.851,672
