grain,metric_id,period,business_slice_name,value,source
day,orders,2026-06-01,Auto Regular,9736,V2
day,orders,2026-06-02,Auto Regular,10537,V2
day,orders,2026-06-03,Auto Regular,11196,V2
day,orders,2026-06-04,Auto Regular,11703,V2
day,orders,2026-06-05,Auto Regular,11934,V2
day,orders,2026-06-01,Carga,24,V2
day,orders,2026-06-02,Carga,17,V2
day,orders,2026-06-03,Carga,15,V2
day,orders,2026-06-04,Carga,27,V2
day,orders,2026-06-05,Carga,34,V2
day,orders,2026-06-01,Delivery,312,V2
day,orders,2026-06-02,Delivery,265,V2
day,orders,2026-06-03,Delivery,346,V2
day,orders,2026-06-04,Delivery,323,V2
day,orders,2026-06-05,Delivery,411,V2
day,orders,2026-06-01,Pro,340,V2
day,orders,2026-06-02,Pro,444,V2
day,orders,2026-06-03,Pro,473,V2
day,orders,2026-06-04,Pro,416,V2
day,orders,2026-06-05,Pro,469,V2
day,orders,2026-06-01,Tuk Tuk,1209,V2
day,orders,2026-06-02,Tuk Tuk,1309,V2
day,orders,2026-06-03,Tuk Tuk,1174,V2
day,orders,2026-06-04,Tuk Tuk,974,V2
day,orders,2026-06-05,Tuk Tuk,1293,V2
day,orders,2026-06-01,Yma,480,V2
day,orders,2026-06-02,Yma,573,V2
day,orders,2026-06-03,Yma,726,V2
day,orders,2026-06-04,Yma,770,V2
day,orders,2026-06-05,Yma,932,V2
day,revenue,2026-06-01,Auto Regular,4731.718,V2
day,revenue,2026-06-02,Auto Regular,4657.907,V2
day,revenue,2026-06-03,Auto Regular,4843.645,V2
day,revenue,2026-06-04,Auto Regular,5143.558,V2
day,revenue,2026-06-05,Auto Regular,5503.839,V2
day,revenue,2026-06-01,Carga,59.984,V2
day,revenue,2026-06-02,Carga,51.472,V2
day,revenue,2026-06-03,Carga,31.293,V2
day,revenue,2026-06-04,Carga,67.321,V2
day,revenue,2026-06-05,Carga,87.969,V2
day,revenue,2026-06-01,Delivery,101.376,V2
day,revenue,2026-06-02,Delivery,88.446,V2
day,revenue,2026-06-03,Delivery,97.86,V2
day,revenue,2026-06-04,Delivery,95.916,V2
day,revenue,2026-06-05,Delivery,125.508,V2
day,revenue,2026-06-01,Pro,107.004,V2
day,revenue,2026-06-02,Pro,127.245,V2
day,revenue,2026-06-03,Pro,133.278,V2
day,revenue,2026-06-04,Pro,121.017,V2
day,revenue,2026-06-05,Pro,148.155,V2
day,revenue,2026-06-01,Tuk Tuk,139.998,V2
day,revenue,2026-06-02,Tuk Tuk,145.443,V2
day,revenue,2026-06-03,Tuk Tuk,132.216,V2
day,revenue,2026-06-04,Tuk Tuk,107.13,V2
day,revenue,2026-06-05,Tuk Tuk,144.318,V2
day,revenue,2026-06-01,Yma,202.794,V2
day,revenue,2026-06-02,Yma,224.247,V2
day,revenue,2026-06-03,Yma,275.136,V2
day,revenue,2026-06-04,Yma,297.33,V2
day,revenue,2026-06-05,Yma,363.663,V2
day,active_drivers,2026-06-01,Auto Regular,1438,V2
day,active_drivers,2026-06-02,Auto Regular,1495,V2
day,active_drivers,2026-06-03,Auto Regular,1543,V2
day,active_drivers,2026-06-04,Auto Regular,1587,V2
day,active_drivers,2026-06-05,Auto Regular,1615,V2
day,active_drivers,2026-06-01,Carga,14,V2
day,active_drivers,2026-06-02,Carga,11,V2
day,active_drivers,2026-06-03,Carga,9,V2
day,active_drivers,2026-06-04,Carga,16,V2
day,active_drivers,2026-06-05,Carga,20,V2
day,active_drivers,2026-06-01,Delivery,46,V2
day,active_drivers,2026-06-02,Delivery,49,V2
day,active_drivers,2026-06-03,Delivery,51,V2
day,active_drivers,2026-06-04,Delivery,50,V2
day,active_drivers,2026-06-05,Delivery,54,V2
day,active_drivers,2026-06-01,Pro,20,V2
