endpoint,day,page,elapsed_ms,status_code,error
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_02_03,N/A,1,1310.1,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_02_03,N/A,2,918.4,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_04_05,N/A,1,1851.1,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_04_05,N/A,2,902.6,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_01_02,N/A,1,1018.2,429,rate_limited
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_03_04,N/A,1,1021.1,429,rate_limited
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_03_04,N/A,1,515.1,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_00_01,N/A,1,19351.0,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_05_06,N/A,1,82832.3,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_01_02,N/A,1,109533.3,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_01_02,N/A,2,897.6,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_00_01,N/A,2,69699.7,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_05_06,N/A,2,266.9,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_03_04,N/A,2,245.1,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_08_09,N/A,1,1777.2,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_06_07,N/A,1,97643.1,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_06_07,N/A,2,1770.8,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_08_09,N/A,2,49635.8,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_09_10,N/A,1,9771.3,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_09_10,N/A,2,1204.0,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_07_08,N/A,1,21229.6,0,timeout
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_09_10,N/A,3,1109.2,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_10_11,N/A,1,908.2,429,rate_limited
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_12_13,N/A,1,1785.5,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_12_13,N/A,2,1023.1,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_08_09,N/A,3,14675.3,429,rate_limited
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_08_09,N/A,3,239.2,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_12_13,N/A,3,941.3,200,
orders_08e20910d81d42658d4334d3f6d10ac0_orders_2026-06-04_11_12,N/A,1,228.5,429,rate_limited
