month;country;trips_legacy;trips_canonical;diff_trips;diff_trips_pct;revenue_legacy;revenue_canonical;diff_revenue;diff_revenue_pct;trips_plan_legacy;trips_plan_canonical;revenue_plan_legacy;revenue_plan_canonical
2025-01;co;725880;725880;0;0.0;-182267637.83;182267637.83;364535275.66;-200.0;0;0;0.0;0.0
2025-01;pe;782;782;0;0.0;-114030.3;114030.3;228060.6;-200.0;0;0;0.0;0.0
2025-02;co;750958;750958;0;0.0;-198514987.16;198514987.16;397029974.32;-200.0;0;0;0.0;0.0
2025-02;pe;641;641;0;0.0;-7360.3;7360.3;14720.6;-200.0;0;0;0.0;0.0
2025-03;co;759966;759966;0;0.0;-205748768.22;205748768.22;411497536.44;-200.0;0;0;0.0;0.0
2025-03;pe;19216;19216;0;0.0;-214183.3;214183.3;428366.6;-200.0;0;0;0.0;0.0
2025-04;co;690145;690145;0;0.0;-181449647.83;181449647.83;362899295.66;-200.0;0;0;0.0;0.0
2025-04;pe;65419;65419;0;0.0;-375917.7;375917.7;751835.4;-200.0;0;0;0.0;0.0
2025-05;co;626732;626732;0;0.0;-170360301.55;170360301.55;340720603.1;-200.0;0;0;0.0;0.0
2025-05;pe;217042;217042;0;0.0;-378311.9;378311.9;756623.8;-200.0;0;0;0.0;0.0
2025-06;co;529178;529178;0;0.0;-150058522.93;150058522.93;300117045.86;-200.0;0;0;0.0;0.0
2025-06;pe;329177;329177;0;0.0;-219935.8;219935.8;439871.6;-200.0;0;0;0.0;0.0
2025-07;co;517087;517087;0;0.0;-141261383.8;141261383.8;282522767.6;-200.0;0;0;0.0;0.0
2025-07;pe;380503;380503;0;0.0;-223305.7;223305.7;446611.4;-200.0;0;0;0.0;0.0
2025-08;co;458146;458146;0;0.0;-135494614.99;135494614.99;270989229.98;-200.0;0;0;0.0;0.0
2025-08;pe;399932;399932;0;0.0;-272301.7;272301.7;544603.4;-200.0;0;0;0.0;0.0
2025-09;co;394502;394502;0;0.0;-117704443.39;117704443.39;235408886.78;-200.0;0;0;0.0;0.0
2025-09;pe;480862;480862;0;0.0;-358123.0;358123.0;716246.0;-200.0;0;0;0.0;0.0
2025-10;co;386932;386932;0;0.0;-117671233.67;117671233.67;235342467.34;-200.0;0;0;0.0;0.0
2025-10;pe;561891;561891;0;0.0;-373451.6;373451.6;746903.2;-200.0;0;0;0.0;0.0
2025-11;co;384306;384306;0;0.0;-122958003.5;122958003.5;245916007.0;-200.0;0;0;0.0;0.0
2025-11;pe;572760;572760;0;0.0;-442744.0;442744.0;885488.0;-200.0;0;0;0.0;0.0
2025-12;co;381093;381093;0;0.0;-148648003.12;148648003.12;297296006.24;-200.0;0;0;0.0;0.0
2025-12;pe;556091;556091;0;0.0;-418462.7;418462.7;836925.4;-200.0;0;0;0.0;0.0
