period;trips_legacy;trips_canonical;diff_trips;diff_trips_pct;revenue_legacy;revenue_canonical;diff_revenue;diff_revenue_pct;drivers_legacy;drivers_canonical;diff_drivers
2025-01;726663;0;726663;100.0;182382476.13;0.0;182382476.13;100.0;8568;0;8568
2025-02;751575;0;751575;100.0;198522345.26;0.0;198522345.26;100.0;9046;0;9046
2025-03;761377;0;761377;100.0;205961316.22;0.0;205961316.22;100.0;8377;0;8377
2025-04;692036;0;692036;100.0;181805709.83;0.0;181805709.83;100.0;8030;0;8030
2025-05;628493;0;628493;100.0;170660357.55;0.0;170660357.55;100.0;7739;0;7739
2025-06;529732;0;529732;100.0;150154694.93;0.0;150154694.93;100.0;6841;0;6841
2025-07;517693;0;517693;100.0;141353470.8;0.0;141353470.8;100.0;6501;0;6501
2025-08;458919;0;458919;100.0;135642810.99;0.0;135642810.99;100.0;5934;0;5934
2025-09;395348;0;395348;100.0;117901244.39;0.0;117901244.39;100.0;5431;0;5431
2025-10;387717;0;387717;100.0;117856380.17;0.0;117856380.17;100.0;5581;0;5581
2025-11;385184;0;385184;100.0;123191425.5;0.0;123191425.5;100.0;5632;0;5632
2025-12;381890;0;381890;100.0;148835489.12;0.0;148835489.12;100.0;5868;0;5868

DIAGNOSIS: MAJOR_DIFF
Legacy periods: 12 | Canonical periods: 0
