period;trips_legacy;trips_canonical;diff_trips;diff_trips_pct;revenue_legacy;revenue_canonical;diff_revenue;diff_revenue_pct;drivers_legacy;drivers_canonical;diff_drivers
2025-02;24;0;24;100.0;2.2;0.0;2.2;100.0;8;0;8
2025-03;17806;0;17806;100.0;2592.3;0.0;2592.3;100.0;165;0;165
2025-04;63530;0;63530;100.0;21753.7;0.0;21753.7;100.0;1261;0;1261
2025-05;215284;0;215284;100.0;78896.8;0.0;78896.8;100.0;4389;0;4389
2025-06;328623;0;328623;100.0;123763.8;0.0;123763.8;100.0;7724;0;7724
2025-07;379897;0;379897;100.0;131218.7;0.0;131218.7;100.0;6476;0;6476
2025-08;399159;0;399159;100.0;124105.7;0.0;124105.7;100.0;6221;0;6221
2025-09;480016;0;480016;100.0;161322.0;0.0;161322.0;100.0;9331;0;9331
2025-10;561107;0;561107;100.0;188307.3;0.0;188307.3;100.0;11278;0;11278
2025-11;571882;0;571882;100.0;209322.0;0.0;209322.0;100.0;11372;0;11372
2025-12;555295;0;555295;100.0;230977.9;0.0;230977.9;100.0;11262;0;11262

DIAGNOSIS: MAJOR_DIFF
Legacy periods: 11 | Canonical periods: 0
