period;trips_legacy;trips_canonical;diff_trips;diff_trips_pct;revenue_legacy;revenue_canonical;diff_revenue;diff_revenue_pct;drivers_legacy;drivers_canonical;diff_drivers
2025-01;726663;726690;27;0.0;182382476.13;182393990.63;11514.5;0.01;8568;0;8568
2025-02;751599;751627;28;0.0;198522347.46;198523896.36;1548.9;0.0;9054;0;9054
2025-03;779183;794929;15746;2.02;205963908.52;205967864.32;3955.8;0.0;8542;0;8542
2025-04;755566;755574;8;0.0;181827463.53;181825569.63;1893.9;0.0;9291;0;9291
2025-05;843777;843774;3;0.0;170739254.35;170738613.45;640.9;0.0;12128;0;12128
2025-06;858355;861329;2974;0.35;150278458.73;150279540.93;1082.2;0.0;14565;0;14565
2025-07;897590;902356;4766;0.53;141484689.5;141486165.6;1476.1;0.0;12977;0;12977
2025-08;858078;858078;0;0.0;135766916.69;135766916.69;0.0;0.0;12155;0;12155
2025-09;875364;876698;1334;0.15;118062566.39;118062819.59;253.2;0.0;14762;0;14762
2025-10;948824;0;948824;100.0;118044687.47;0.0;118044687.47;100.0;16859;0;16859
2025-11;957066;477998;479068;50.06;123400747.5;64465510.8;58935236.7;47.76;17004;0;17004
2025-12;937185;937184;1;0.0;149066467.02;149081621.62;15154.6;0.01;17130;0;17130

DIAGNOSIS: MAJOR_DIFF
Legacy periods: 12 | Canonical periods: 11
