country,city,business_slice,kpi,month,monthly_value,weekly_sum,daily_sum,weekly_max,daily_max,expected_rule,comparable_across_grains,status,issue_note
colombia,barranquilla,Auto regular,commission_pct,2025-12-01,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Auto regular,trips_completed,2025-12-01,39051.0,42038.0,39051.0,9790.0,1582.0,exact_sum,True,fail,SUM(weekly)=42038 vs monthly=39051
colombia,barranquilla,Auto regular,avg_ticket,2025-12-01,12882.03329065301,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Auto regular,active_drivers,2025-12-01,423.0,4445.0,4118.0,1021.0,155.0,not_directly_comparable,False,fail,monthly(423) < max(weekly)=1021
colombia,barranquilla,Auto regular,revenue_yego_net,2025-12-01,0.0,-1225105.0,0.0,0.0,0.0,exact_sum,True,fail,SUM(weekly)=-1.2251e+06 vs monthly=0
colombia,barranquilla,Auto regular,cancel_rate_pct,2025-12-01,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Auto regular,trips_per_driver,2025-12-01,92.31914893617021,0.0,0.0,0.0,0.0,not_directly_comparable,False,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
colombia,barranquilla,Delivery moto,commission_pct,2025-12-01,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Delivery moto,trips_completed,2025-12-01,3567.0,3760.0,3567.0,881.0,166.0,exact_sum,True,fail,SUM(weekly)=3760 vs monthly=3567
colombia,barranquilla,Delivery moto,avg_ticket,2025-12-01,5892.514718250631,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Delivery moto,active_drivers,2025-12-01,73.0,476.0,451.0,108.0,21.0,not_directly_comparable,False,fail,monthly(73) < max(weekly)=108
colombia,barranquilla,Delivery moto,revenue_yego_net,2025-12-01,0.0,-21212.0,0.0,0.0,0.0,exact_sum,True,fail,SUM(weekly)=-21212 vs monthly=0
colombia,barranquilla,Delivery moto,cancel_rate_pct,2025-12-01,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Delivery moto,trips_per_driver,2025-12-01,48.863013698630134,0.0,0.0,0.0,0.0,not_directly_comparable,False,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
