country,city,business_slice,kpi,month,monthly_value,daily_sum_in_month,weekly_sum_full_iso,weekly_sum_intersect,weekly_max,daily_max,expected_rule,comparable_across_grains,validation_basis,status,issue_note
colombia,barranquilla,Auto regular,commission_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Auto regular,trips_completed,2026-04-01,13250.0,13250.0,14831.0,13562.714285714286,5089.0,849.0,exact_sum,True,daily_in_month,warning,"SUM(daily_in_month)=13250 OK; weekly_intersect=13562.7 vs monthly=13250 (tolerancia 2x, puede deberse a parciales de semana)"
colombia,barranquilla,Auto regular,avg_ticket,2026-04-01,12395.471698113208,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Auto regular,active_drivers,2026-04-01,317.0,2072.0,2323.0,785.0,785.0,126.0,not_directly_comparable,False,daily_in_month+max_scope,expected_non_comparable,Distinct count: monthly NO equivale a SUM(weekly|daily); rango vs daily_max verificado.
colombia,barranquilla,Auto regular,revenue_yego_net,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,exact_sum,True,daily_in_month,ok,
colombia,barranquilla,Auto regular,cancel_rate_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Auto regular,trips_per_driver,2026-04-01,41.798107255520506,0.0,0.0,0.0,0.0,0.0,not_directly_comparable,False,formula_internal,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
colombia,barranquilla,Delivery moto,commission_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Delivery moto,trips_completed,2026-04-01,1479.0,1479.0,1644.0,1519.142857142857,626.0,109.0,exact_sum,True,daily_in_month,warning,"SUM(daily_in_month)=1479 OK; weekly_intersect=1519.14 vs monthly=1479 (tolerancia 2x, puede deberse a parciales de semana)"
colombia,barranquilla,Delivery moto,avg_ticket,2026-04-01,5567.6132521974305,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
