hora,trips,conductores,ticket_promedio,revenue,km_promedio,duracion_min
0,838,23,9.49,7951.30,3.34,9.2
1,813,21,9.08,7379.70,3.59,9.0
2,722,22,8.93,6449.20,3.68,8.7
3,625,22,9.45,5905.90,3.81,8.9
4,585,22,9.66,5648.90,4.18,9.6
5,673,21,9.30,6259.50,4.04,10.6
6,569,24,11.22,6386.50,4.59,13.7
7,397,25,11.35,4504.90,3.87,15.8
8,368,25,11.76,4328.70,4.25,18.1
9,418,26,10.15,4244.70,3.88,16.1
10,451,27,10.29,4639.20,4.20,16.1
11,460,26,10.00,4599.60,3.83,15.9
12,466,27,10.15,4720.80,3.88,16.0
13,503,25,10.44,5249.50,3.71,15.3
14,496,25,10.16,5041.60,3.67,14.8
15,519,25,10.21,5299.80,3.59,14.7
16,486,24,10.68,5188.70,3.65,15.4
17,430,24,11.96,5144.60,3.57,15.7
18,390,26,12.95,5051.00,3.33,16.6
19,393,29,11.47,4506.80,3.36,15.3
20,578,30,10.16,5873.60,3.64,13.2
21,860,27,9.49,8165.50,3.59,11.9
22,940,25,10.64,9998.60,3.76,11.7
23,971,25,10.23,9935.40,3.56,10.0
