percentil,trips_mes,revenue_mes,pct_conductor,costo_variable,costo_fijo,utilidad_antes_pago,pago_conductor,resultado_empresa,margen_pct
P10,43,506,30%,67.72,2657,-2218.72,151.8,-2370.53,-468.5
P25,231,2253,30%,363.82,2657,-767.83,675.9,-1443.72,-64.1
P50,471,4748,30%,741.82,2657,1349.18,1424.4,-75.22,-1.6
P75,599,5759,30%,943.42,2657,2158.57,1727.7,430.87,7.5
P90,675,7132,30%,1063.12,2657,3411.88,2139.6,1272.28,17.8
Top1,706,7668,30%,1111.95,2657,3899.05,2300.4,1598.65,20.8
P10,43,506,35%,67.72,2657,-2218.72,177.1,-2395.82,-473.5
P25,231,2253,35%,363.82,2657,-767.83,788.55,-1556.38,-69.1
P50,471,4748,35%,741.82,2657,1349.18,1661.8,-312.62,-6.6
P75,599,5759,35%,943.42,2657,2158.57,2015.65,142.92,2.5
P90,675,7132,35%,1063.12,2657,3411.88,2496.2,915.68,12.8
Top1,706,7668,35%,1111.95,2657,3899.05,2683.8,1215.25,15.8
P10,43,506,40%,67.72,2657,-2218.72,202.4,-2421.12,-478.5
P25,231,2253,40%,363.82,2657,-767.83,901.2,-1669.03,-74.1
P50,471,4748,40%,741.82,2657,1349.18,1899.2,-550.02,-11.6
P75,599,5759,40%,943.42,2657,2158.57,2303.6,-145.03,-2.5
P90,675,7132,40%,1063.12,2657,3411.88,2852.8,559.07,7.8
Top1,706,7668,40%,1111.95,2657,3899.05,3067.2,831.85,10.8
P10,43,506,45%,67.72,2657,-2218.72,227.7,-2446.42,-483.5
P25,231,2253,45%,363.82,2657,-767.83,1013.85,-1781.68,-79.1
P50,471,4748,45%,741.82,2657,1349.18,2136.6,-787.42,-16.6
P75,599,5759,45%,943.42,2657,2158.57,2591.55,-432.98,-7.5
P90,675,7132,45%,1063.12,2657,3411.88,3209.4,202.47,2.8
Top1,706,7668,45%,1111.95,2657,3899.05,3450.6,448.45,5.8
P10,43,506,50%,67.72,2657,-2218.72,253.0,-2471.72,-488.5
P25,231,2253,50%,363.82,2657,-767.83,1126.5,-1894.33,-84.1
P50,471,4748,50%,741.82,2657,1349.18,2374.0,-1024.82,-21.6
P75,599,5759,50%,943.42,2657,2158.57,2879.5,-720.93,-12.5
P90,675,7132,50%,1063.12,2657,3411.88,3566.0,-154.12,-2.2
Top1,706,7668,50%,1111.95,2657,3899.05,3834.0,65.05,0.8
P10,43,506,55%,67.72,2657,-2218.72,278.3,-2497.03,-493.5
P25,231,2253,55%,363.82,2657,-767.83,1239.15,-2006.98,-89.1
P50,471,4748,55%,741.82,2657,1349.18,2611.4,-1262.22,-26.6
P75,599,5759,55%,943.42,2657,2158.57,3167.45,-1008.88,-17.5
P90,675,7132,55%,1063.12,2657,3411.88,3922.6,-510.73,-7.2
Top1,706,7668,55%,1111.95,2657,3899.05,4217.4,-318.35,-4.2
P10,43,506,60%,67.72,2657,-2218.72,303.6,-2522.32,-498.5
P25,231,2253,60%,363.82,2657,-767.83,1351.8,-2119.62,-94.1
P50,471,4748,60%,741.82,2657,1349.18,2848.8,-1499.62,-31.6
P75,599,5759,60%,943.42,2657,2158.57,3455.4,-1296.83,-22.5
P90,675,7132,60%,1063.12,2657,3411.88,4279.2,-867.32,-12.2
Top1,706,7668,60%,1111.95,2657,3899.05,4600.8,-701.75,-9.2
