run,label,status,duration_ms,size_bytes,kpis_present,profit_present,coverage_present,phase
1,COLD,OK,3924,2947,TRUE,TRUE,TRUE,BEFORE
2,WARM,OK,1001,2947,TRUE,TRUE,TRUE,BEFORE
3,WARM,OK,1028,2947,TRUE,TRUE,TRUE,BEFORE
4,WARM,OK,1010,2947,TRUE,TRUE,TRUE,BEFORE
5,WARM,OK,1007,2947,TRUE,TRUE,TRUE,BEFORE
1,COLD,OK,3923,2947,TRUE,TRUE,TRUE,AFTER
2,WARM,OK,1795,2947,TRUE,TRUE,TRUE,AFTER
3,WARM,OK,1785,2947,TRUE,TRUE,TRUE,AFTER
4,WARM,OK,2098,2947,TRUE,TRUE,TRUE,AFTER
5,WARM,OK,1791,2947,TRUE,TRUE,TRUE,AFTER
