metric,value
billing_drivers,26
billing_max_date,2026-05-24
billing_min_date,2026-05-18
billing_rows,26
billing_weeks,1
close_days,17
close_driver_coverage_pct,14.9
close_drivers,30
close_max_date,2026-05-27
close_min_date,2026-05-11
close_rows,349
confidence,HIGH
data_source,multi_source
financial_history_status,PARTIAL
metric_type,DERIVED
operational_history_status,HEALTHY
park_id,64085dd85e124e2c808806f70d527ea8
plate_coverage_pct,45.3
refreshed_at,2026-05-29 00:18:22.305090-05:00
registered_drivers,202
shift_days,26
shift_drivers,36
shift_rows,1026
shifts_with_plate,465
shifts_without_plate,561
trip_days,147
trip_drivers,84
trip_max_date,2026-05-27
trip_min_date,2026-01-01
trip_rows,81140
