layer,metric,source,role,confidence
PRODUCTION,trips,module_calculated_shifts,SOURCE_OF_TRUTH,HIGH
PRODUCTION,revenue_daily,module_calculated_shifts,SOURCE_OF_TRUTH,HIGH
PRODUCTION,shift_type,module_calculated_shifts.tipo_turno,SOURCE_OF_TRUTH,HIGH
PRODUCTION,vehicle_plate,module_calculated_shifts.placa,SOURCE_OF_TRUTH,MEDIUM
PRODUCTION,shift_duration,module_calculated_shifts.duracion_minutos,SOURCE_OF_TRUTH,HIGH
SETTLEMENT,driver_payout_daily,module_driver_closes,SOURCE_OF_TRUTH,MEDIUM
SETTLEMENT,fuel_cost_daily,module_driver_closes,SOURCE_OF_TRUTH,MEDIUM
SETTLEMENT,km_validated,module_driver_closes.diferencia_odometro,SECONDARY_CHECK,LOW
SETTLEMENT,daily_settlement,module_driver_closes,SOURCE_OF_TRUTH,MEDIUM
FINANCIAL,revenue_weekly,module_weekly_billing,SOURCE_OF_TRUTH,HIGH
FINANCIAL,platform_commission,module_weekly_billing,SOURCE_OF_TRUTH,HIGH
FINANCIAL,fuel_cost_weekly,module_weekly_billing,SOURCE_OF_TRUTH,HIGH
FINANCIAL,maintenance_weekly,module_weekly_billing,SOURCE_OF_TRUTH,HIGH
FINANCIAL,driver_payout_weekly,module_weekly_billing,SOURCE_OF_TRUTH,HIGH
FINANCIAL,profit_weekly,module_weekly_billing,SOURCE_OF_TRUTH,HIGH
FINANCIAL,margin_pct,module_weekly_billing,SOURCE_OF_TRUTH,HIGH
