kpi_id,kpi_name,category,classification,source_table,formula,granularity_min,confidence,value_reference,unit,endpoint,risk
1,trips_completed,OPERATIVO,REAL,public.trips_2026,"COUNT(*) WHERE condicion='Completado'",viaje,5/5,13951,trips,overview/weekly/daily,Ninguno
2,trips_cancelled,OPERATIVO,REAL,public.trips_2026,"COUNT(*) WHERE condicion<>'Completado'",viaje,5/5,13647,trips,overview/weekly/daily,Ninguno
3,revenue_gross,OPERATIVO,REAL,public.trips_2026,"SUM(precio_yango_pro) completados",viaje,5/5,142474,S/,overview/weekly/daily,Ninguno
4,ticket_avg,OPERATIVO,DERIVADO,public.trips_2026,"AVG(precio_yango_pro) completados",dia,5/5,10.21,S/,overview/weekly/shift,Ninguno
5,km_per_trip_passenger,OPERATIVO,REAL,public.trips_2026,"AVG(distancia_km)/1000 (campo en metros)",viaje,4/5,3.75,km,overview,Campo en metros
6,km_per_trip_total,OPERATIVO,REAL,public.module_weekly_billing,"SUM(km_recorrido)/SUM(total_viajes)",semana,5/5,9.20,km,overview/waterfall,Solo 1 semana
7,km_dead_per_trip,OPERATIVO,DERIVADO,billing + trips,"km_billing - km_trips",semana,3/5,5.45,km,inputs,Estimacion
8,active_drivers,OPERATIVO,REAL,public.trips_2026,"COUNT(DISTINCT conductor_id)",dia,5/5,34,drivers,overview/daily,Ninguno
9,active_vehicles,OPERATIVO,NO DISPONIBLE,N/A,"Sin asignacion vehiculo-conductor",N/A,0/5,N/A,vehicles,vehicle,Critico
10,supply_hours_real,OPERATIVO,NO DISPONIBLE,public.module_ct_fleet_summary_daily,"fleet_summary vacia para park",N/A,0/5,N/A,horas,N/A,Critico
11,work_hours_proxy,OPERATIVO,REAL,public.module_weekly_billing,"SUM(horas_trabajo)",semana,4/5,52.36,horas/sem,overview/driver,Proxy no supply real
12,revenue_per_hour,OPERATIVO,DERIVADO,public.module_weekly_billing,"monto_total_producido / horas_trabajo",semana,4/5,28.97,S/h,overview/driver,Proxy horas
13,trips_per_hour,OPERATIVO,DERIVADO,public.module_weekly_billing,"total_viajes / horas_trabajo",semana,4/5,2.32,trips/h,overview/driver,Proxy horas
