comparison,period,metric,value_source_a,value_source_b,difference,status
trips_2026 vs module_weekly_billing,2026-05-25,trips,1365,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-05-25,revenue,13469.00,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-05-18,trips,3163,3163,0,MATCH
trips_2026 vs module_weekly_billing,2026-05-18,revenue,33507.70,39440.27,-5932.57,MISMATCH
trips_2026 vs module_weekly_billing,2026-05-11,trips,3369,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-05-11,revenue,33225.20,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-05-04,trips,3362,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-05-04,revenue,34534.50,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-04-27,trips,3079,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-04-27,revenue,31698.00,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-04-20,trips,3442,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-04-20,revenue,33863.00,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-04-13,trips,3197,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-04-13,revenue,32845.00,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-04-06,trips,3811,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-04-06,revenue,37654.70,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-03-30,trips,3617,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-03-30,revenue,37303.10,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-03-23,trips,4066,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-03-23,revenue,42248.60,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-03-16,trips,4135,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-03-16,revenue,43056.00,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-03-09,trips,3777,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-03-09,revenue,41469.80,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-03-02,trips,3624,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-03-02,revenue,41582.80,,,MISSING_SIDE
trips_2026 vs module_weekly_billing,2026-02-23,trips,4110,,,MISSING_SIDE
